kind,id,old_path,new_path,old_sha256,status,notes
pattern,adopt-ship-generic,prompts/onboarding/adopt-ship-generic.md,artifacts/patterns/adopt-ship-generic/ARTIFACT.md,386a7ac1f4318fec,migrated,new sha=61c16822962d232a…
pattern,adopt-ship-elmundi,prompts/onboarding/adopt-ship-elmundi.md,artifacts/patterns/adopt-ship-elmundi/ARTIFACT.md,61dace64ce1eea22,migrated,new sha=9ef30393eba4809b…
pattern,cloud-base,prompts/cloud-agent/_base.md,artifacts/patterns/cloud-base/ARTIFACT.md,e384a7bc9120a7ca,migrated,new sha=1fc36fc353a83891…
pattern,cloud-intake,prompts/cloud-agent/intake.md,artifacts/patterns/cloud-intake/ARTIFACT.md,6811715e9df919de,migrated,new sha=e11dfb9f488e05fd…
pattern,cloud-clarification,prompts/cloud-agent/clarification.md,artifacts/patterns/cloud-clarification/ARTIFACT.md,77f093a979af1299,migrated,new sha=cea269d645a0d57a…
pattern,cloud-ba,prompts/cloud-agent/ba.md,artifacts/patterns/cloud-ba/ARTIFACT.md,f9e918cf43b32dad,migrated,new sha=21c06dac7e36909a…
pattern,cloud-developer,prompts/cloud-agent/developer.md,artifacts/patterns/cloud-developer/ARTIFACT.md,0e5544aab79adf82,migrated,new sha=8435db6e651b495e…
pattern,cloud-qa-architect,prompts/cloud-agent/qa-architect.md,artifacts/patterns/cloud-qa-architect/ARTIFACT.md,eccc8e4196e36bfd,migrated,new sha=ab0adc5c71926dc3…
pattern,cloud-tech-architect,prompts/cloud-agent/tech-architect.md,artifacts/patterns/cloud-tech-architect/ARTIFACT.md,ef16b717c6f1a38a,migrated,new sha=5c51909be5d3015f…
pattern,cloud-security-officer,prompts/cloud-agent/security-officer.md,artifacts/patterns/cloud-security-officer/ARTIFACT.md,7ab73d6046912b99,migrated,new sha=5f0263cabf3fa0e0…
pattern,cloud-workflow-self-heal,prompts/cloud-agent/workflow-self-heal.md,artifacts/patterns/cloud-workflow-self-heal/ARTIFACT.md,4dd33f310025b6e1,migrated,new sha=93ae0aaf3bee55d5…
pattern,catalog-a1-intake,prompts/catalog/A1-intake.md,artifacts/patterns/catalog-a1-intake/ARTIFACT.md,576348188bc45430,migrated,new sha=2f2123160a58f89a…
pattern,catalog-a2-clarification,prompts/catalog/A2-clarification.md,artifacts/patterns/catalog-a2-clarification/ARTIFACT.md,502c5522a1c87a08,migrated,new sha=3026d0cfe0d7a01d…
pattern,catalog-a3-ba-spec,prompts/catalog/A3-ba-spec.md,artifacts/patterns/catalog-a3-ba-spec/ARTIFACT.md,b9275027a6c73de1,migrated,new sha=6a2b48e257bf6ab0…
pattern,catalog-a4-developer,prompts/catalog/A4-developer.md,artifacts/patterns/catalog-a4-developer/ARTIFACT.md,bd621afeabbb047f,migrated,new sha=c61a945e7a7d6c38…
pattern,catalog-a5-pr-self-review,prompts/catalog/A5-pr-self-review.md,artifacts/patterns/catalog-a5-pr-self-review/ARTIFACT.md,6cb9385b3eaa4ce5,migrated,new sha=66e338e9dcda8aa7…
